	HGNC_ID	Gene_symbol	Gene synonym	Ensembl	Protein class	Disease involvement	Source	Source_Date	Download_Date
18	HGNC:18	AAMP		ENSG00000127837	Plasma proteins, Predicted intracellular proteins		HPA	20210914	20210914
19	HGNC:19	AANAT	SNAT	ENSG00000129673	Enzymes, Predicted intracellular proteins	Disease mutation	HPA	20210914	20210914
20	HGNC:15886	AAR2	bA234K24.2, C20orf4	ENSG00000131043	Predicted intracellular proteins		HPA	20210914	20210914
21	HGNC:33842	AARD	C8orf85, LOC441376	ENSG00000205002	Predicted intracellular proteins		HPA	20210914	20210914
22	HGNC:20	AARS	AlaRS, CMT2N	ENSG00000090861	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Charcot-Marie-Tooth disease, Disease mutation, Epilepsy, Neurodegeneration, Neuropathy	HPA	20210914	20210914
23	HGNC:21022	AARS2	AARSL, bA444E17.1, KIAA1270	ENSG00000124608	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Cancer-related genes, Cardiomyopathy, Disease mutation, Neurodegeneration, Premature ovarian failure, Primary mitochondrial disease	HPA	20210914	20210914
24	HGNC:28417	AARSD1	MGC2744	ENSG00000266967	Predicted intracellular proteins		HPA	20210914	20210914
25	HGNC:23993	AASDH	ACSF4, LYS2, NRPS998	ENSG00000157426	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
26	HGNC:14235	AASDHPPT	AASD-PPT, ACPS, CGI-80, LYS5	ENSG00000149313	Predicted intracellular proteins		HPA	20210914	20210914
27	HGNC:17366	AASS	LKRSDH, LORSDH	ENSG00000008311	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins		HPA	20210914	20210914
28	HGNC:19235	AATF	BFR2, CHE-1, CHE1, DED	ENSG00000275700	Predicted intracellular proteins		HPA	20210914	20210914
29	HGNC:21	AATK	AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77	ENSG00000181409	Enzymes, Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
30	HGNC:23	ABAT	GABAT	ENSG00000183044	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Disease mutation, FDA approved drug targets	HPA	20210914	20210914
31	HGNC:29	ABCA1	ABC1, HDLDT1, TGD	ENSG00000165029	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Atherosclerosis, Disease mutation, FDA approved drug targets	HPA	20210914	20210914
32	HGNC:30	ABCA10	EST698739	ENSG00000154263	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
33	HGNC:14637	ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Disease mutation, Ichthyosis	HPA	20210914	20210914
34	HGNC:14638	ABCA13	FLJ33876, FLJ33951	ENSG00000179869	Predicted membrane proteins		HPA	20210914	20210914
35	HGNC:32	ABCA2	ABC2	ENSG00000107331	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
36	HGNC:33	ABCA3	ABC-C, ABC3, EST111653, LBM180	ENSG00000167972	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Disease mutation	HPA	20210914	20210914
37	HGNC:34	ABCA4	ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1	ENSG00000198691	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Age-related macular degeneration, Cone-rod dystrophy, Disease mutation, Retinitis pigmentosa, Stargardt disease	HPA	20210914	20210914
38	HGNC:35	ABCA5	EST90625	ENSG00000154265	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
39	HGNC:36	ABCA6	EST155051	ENSG00000154262	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
40	HGNC:37	ABCA7	ABCX	ENSG00000064687	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Alzheimer disease, Amyloidosis, Neurodegeneration	HPA	20210914	20210914
41	HGNC:38	ABCA8	KIAA0822	ENSG00000141338	Predicted membrane proteins, Transporters		HPA	20210914	20210914
42	HGNC:39	ABCA9	EST640918	ENSG00000154258	Predicted membrane proteins, Transporters		HPA	20210914	20210914
43	HGNC:40	ABCB1	ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1	ENSG00000085563	Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Cancer-related genes	HPA	20210914	20210914
44	HGNC:41	ABCB10	EST20237, M-ABC2, MTABC2	ENSG00000135776	Plasma proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
45	HGNC:42	ABCB11	ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ENSG00000073734	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Disease mutation, Intrahepatic cholestasis	HPA	20210914	20210914
46	HGNC:45	ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Disease mutation, Intrahepatic cholestasis	HPA	20210914	20210914
47	HGNC:46	ABCB5	ABCB5alpha, ABCB5beta, EST422562	ENSG00000004846	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
48	HGNC:47	ABCB6	EST45597, MTABC3, umat	ENSG00000115657	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Disease mutation, Dyskeratosis congenita, Microphthalmia	HPA	20210914	20210914
49	HGNC:48	ABCB7	ABC7, ASAT, Atm1p, EST140535	ENSG00000131269	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Disease mutation	HPA	20210914	20210914
50	HGNC:49	ABCB8	EST328128, M-ABC1, MABC1	ENSG00000197150	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
51	HGNC:50	ABCB9	EST122234	ENSG00000150967	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
52	HGNC:51	ABCC1	GS-X, MRP, MRP1	ENSG00000103222	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Cancer-related genes, FDA approved drug targets	HPA	20210914	20210914
53	HGNC:52	ABCC10	EST182763, MRP7, SIMRP7	ENSG00000124574	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
54	HGNC:14639	ABCC11	MRP8	ENSG00000121270	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
55	HGNC:14640	ABCC12	MRP9	ENSG00000140798	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
56	HGNC:53	ABCC2	CMOAT, cMRP, DJS, MRP2	ENSG00000023839	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Cancer-related genes, Disease mutation, FDA approved drug targets	HPA	20210914	20210914
57	HGNC:54	ABCC3	cMOAT2, EST90757, MLP2, MOAT-D, MRP3	ENSG00000108846	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Cancer-related genes	HPA	20210914	20210914
58	HGNC:55	ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	Plasma proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
59	HGNC:56	ABCC5	EST277145, MOAT-C, MRP5, SMRP	ENSG00000114770	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Cancer-related genes	HPA	20210914	20210914
60	HGNC:57	ABCC6	ARA, EST349056, MLP1, MRP6, PXE, URG7	ENSG00000091262	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Cancer-related genes, Disease mutation	HPA	20210914	20210914
61	HGNC:59	ABCC8	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2	ENSG00000006071	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Diabetes mellitus, Disease mutation, FDA approved drug targets	HPA	20210914	20210914
62	HGNC:60	ABCC9	CMD1O, SUR2	ENSG00000069431	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Atrial fibrillation, Cardiomyopathy, Disease mutation, FDA approved drug targets	HPA	20210914	20210914
63	HGNC:61	ABCD1	adrenoleukodystrophy, ALD, ALDP, AMN	ENSG00000101986	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Disease mutation	HPA	20210914	20210914
64	HGNC:66	ABCD2	ALDL1, ALDR, ALDRP	ENSG00000173208	Predicted membrane proteins, Transporters		HPA	20210914	20210914
65	HGNC:67	ABCD3	PMP70, PXMP1, ZWS2	ENSG00000117528	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters		HPA	20210914	20210914
66	HGNC:68	ABCD4	EST352188, P70R, PMP69, PXMP1L	ENSG00000119688	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Disease mutation	HPA	20210914	20210914
67	HGNC:69	ABCE1	OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I	ENSG00000164163	Predicted intracellular proteins		HPA	20210914	20210914
68	HGNC:70	ABCF1	ABC50, EST123147	ENSG00000204574	Plasma proteins, Predicted intracellular proteins		HPA	20210914	20210914
69	HGNC:71	ABCF2	ABC28, EST133090, HUSSY-18, M-ABC1	ENSG00000033050	Predicted intracellular proteins		HPA	20210914	20210914
70	HGNC:71	ABCF2	ABC28, EST133090, HUSSY-18, M-ABC1	ENSG00000285292	Predicted intracellular proteins		HPA	20210914	20210914
71	HGNC:72	ABCF3	EST201864	ENSG00000161204	Predicted intracellular proteins		HPA	20210914	20210914
72	HGNC:73	ABCG1	ABC8	ENSG00000160179	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
73	HGNC:74	ABCG2	ABCP, BCRP, CD338, EST157481, MXR	ENSG00000118777	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Cancer-related genes	HPA	20210914	20210914
74	HGNC:13884	ABCG4	WHITE2	ENSG00000172350	Predicted intracellular proteins, Predicted membrane proteins, Transporters		HPA	20210914	20210914
75	HGNC:13886	ABCG5	STSL	ENSG00000138075	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Disease mutation	HPA	20210914	20210914
76	HGNC:13887	ABCG8	GBD4	ENSG00000143921	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Disease mutation	HPA	20210914	20210914
77	HGNC:17553	ABHD1	FLJ36128, LABH1	ENSG00000143994	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
78	HGNC:25656	ABHD10	FLJ11342	ENSG00000144827	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
79	HGNC:16407	ABHD11	PP1226, WBSCR21	ENSG00000106077	Disease related genes, Predicted intracellular proteins	Williams-Beuren syndrome	HPA	20210914	20210914
80	HGNC:15868	ABHD12	ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106	ENSG00000100997	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Cataract, Deafness, Disease mutation, Neuropathy, Retinitis pigmentosa	HPA	20210914	20210914
81	HGNC:19837	ABHD12B	BEM46L3, C14orf29	ENSG00000131969	Predicted intracellular proteins		HPA	20210914	20210914
82	HGNC:20293	ABHD13	bA153I24.2, BEM46L1, C13orf6, FLJ14906	ENSG00000139826	Predicted membrane proteins		HPA	20210914	20210914
83	HGNC:24538	ABHD14A	DKFZP564O243, DORZ1	ENSG00000248487	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
84	HGNC:38856	ABHD14A-ACY1		ENSG00000114786	Predicted intracellular proteins		HPA	20210914	20210914
85	HGNC:28235	ABHD14B	CIB, MGC15429	ENSG00000114779	Plasma proteins, Predicted intracellular proteins		HPA	20210914	20210914
86	HGNC:26971	ABHD15		ENSG00000168792	Predicted secreted proteins		HPA	20210914	20210914
87	HGNC:13921	ABHD16A	BAT5, D6S82E, NG26	ENSG00000204427	Predicted membrane proteins		HPA	20210914	20210914
88	HGNC:16128	ABHD16B	C20orf135, dJ591C20.1	ENSG00000183260	Plasma proteins, Predicted intracellular proteins		HPA	20210914	20210914
89	HGNC:28756	ABHD17A	C19orf27, FAM108A1, MGC5244	ENSG00000129968	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
90	HGNC:24278	ABHD17B	C9orf77, CGI-67, FAM108B1	ENSG00000107362	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
91	HGNC:26925	ABHD17C	FAM108C1	ENSG00000136379	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
92	HGNC:26111	ABHD18	C4orf29, FLJ21106	ENSG00000164074	Predicted intracellular proteins		HPA	20210914	20210914
93	HGNC:18717	ABHD2	LABH2	ENSG00000140526	Enzymes, Predicted membrane proteins		HPA	20210914	20210914
94	HGNC:18718	ABHD3	LABH3	ENSG00000158201	Enzymes, Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
95	HGNC:20154	ABHD4	FLJ12816	ENSG00000100439	Enzymes, Predicted intracellular proteins		HPA	20210914	20210914
96	HGNC:21396	ABHD5	CGI-58, NCIE2	ENSG00000011198	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Cataract, Deafness, Disease mutation, Ichthyosis	HPA	20210914	20210914
97	HGNC:21398	ABHD6		ENSG00000163686	Enzymes, Predicted membrane proteins		HPA	20210914	20210914
98	HGNC:23759	ABHD8	FLJ11743, MGC14280, MGC2512	ENSG00000127220	Predicted intracellular proteins		HPA	20210914	20210914
99	HGNC:11320	ABI1	ABI-1, E3B1, SSH3BP1	ENSG00000136754	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Cancer-related genes	HPA	20210914	20210914
100	HGNC:24011	ABI2	ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2	ENSG00000138443	Predicted intracellular proteins	Disease mutation, Mental retardation	HPA	20210914	20210914
101	HGNC:29859	ABI3	NESH, SSH3BP3	ENSG00000108798	Predicted intracellular proteins		HPA	20210914	20210914
102	HGNC:17265	ABI3BP	DKFZP586L2024, NESHBP, TARSH	ENSG00000154175	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Disease mutation	HPA	20210914	20210914
103	HGNC:76	ABL1	ABL, c-ABL, JTK7, p150	ENSG00000097007	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Cancer-related genes, Disease mutation, FDA approved drug targets, Proto-oncogene	HPA	20210914	20210914
104	HGNC:77	ABL2	ABLL, ARG	ENSG00000143322	Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins	Cancer-related genes	HPA	20210914	20210914
105	HGNC:78	ABLIM1	abLIM, LIMAB1, limatin	ENSG00000099204	Predicted intracellular proteins		HPA	20210914	20210914
106	HGNC:19195	ABLIM2	KIAA1808	ENSG00000163995	Predicted intracellular proteins		HPA	20210914	20210914
107	HGNC:29132	ABLIM3	KIAA0843	ENSG00000173210	Plasma proteins, Predicted intracellular proteins		HPA	20210914	20210914
108	HGNC:79	ABO	A3GALNT, A3GALT1	ENSG00000175164	Predicted membrane proteins, Predicted secreted proteins		HPA	20210914	20210914
109	HGNC:81	ABR	MDB	ENSG00000159842	Predicted intracellular proteins		HPA	20210914	20210914
110	HGNC:30655	ABRA	STARS	ENSG00000174429	Predicted intracellular proteins		HPA	20210914	20210914
111	HGNC:21230	ABRACL	C6orf115, Costars, HSPC280, PRO2013	ENSG00000146386	Plasma proteins, Predicted intracellular proteins		HPA	20210914	20210914
112	HGNC:25829	ABRAXAS1	ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614	ENSG00000163322	Disease related genes, Predicted intracellular proteins	Disease mutation	HPA	20210914	20210914
113	HGNC:28975	ABRAXAS2	ABRO1, Em:AC068896.4, FAM175B, KIAA0157	ENSG00000165660	Predicted intracellular proteins		HPA	20210914	20210914
114	HGNC:17369	ABT1	Esf2	ENSG00000146109	Predicted intracellular proteins		HPA	20210914	20210914
115	HGNC:18275	ABTB1	BPOZ, Btb3, BTBD21, EF1ABP	ENSG00000114626	Predicted intracellular proteins		HPA	20210914	20210914
116	HGNC:23842	ABTB2	ABTB2A, BTBD22, DKFZP586C1619	ENSG00000166016	Predicted intracellular proteins		HPA	20210914	20210914
117		AC001226.2		ENSG00000283208	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
118		AC002094.3		ENSG00000273171	Predicted intracellular proteins		HPA	20210914	20210914
119		AC002310.4		ENSG00000260869	Predicted intracellular proteins		HPA	20210914	20210914
120		AC002996.1		ENSG00000257767	Predicted intracellular proteins		HPA	20210914	20210914
121		AC003002.1		ENSG00000268133	Predicted intracellular proteins		HPA	20210914	20210914
122		AC003002.2		ENSG00000268533	Predicted intracellular proteins		HPA	20210914	20210914
123		AC003002.3		ENSG00000269533	Predicted intracellular proteins		HPA	20210914	20210914
124		AC003006.1		ENSG00000269026	Predicted intracellular proteins		HPA	20210914	20210914
125		AC004076.1		ENSG00000268163	Predicted intracellular proteins		HPA	20210914	20210914
126		AC004080.3		ENSG00000257184	Predicted intracellular proteins		HPA	20210914	20210914
127		AC004223.3		ENSG00000267618	Predicted intracellular proteins		HPA	20210914	20210914
128		AC004233.2		ENSG00000270168	Predicted intracellular proteins		HPA	20210914	20210914
129		AC004556.1		ENSG00000276345	Predicted intracellular proteins		HPA	20210914	20210914
130		AC004593.3		ENSG00000285162	Predicted intracellular proteins		HPA	20210914	20210914
131		AC004691.2		ENSG00000250424	Predicted membrane proteins		HPA	20210914	20210914
132		AC004754.1		ENSG00000269881	Predicted membrane proteins		HPA	20210914	20210914
133		AC004832.3		ENSG00000249590	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
134		AC004922.1		ENSG00000284292	Predicted intracellular proteins		HPA	20210914	20210914
135		AC004997.1		ENSG00000248751	Predicted intracellular proteins		HPA	20210914	20210914
136		AC005154.6		ENSG00000281039	Predicted intracellular proteins		HPA	20210914	20210914
137		AC005324.3		ENSG00000251537	Predicted intracellular proteins		HPA	20210914	20210914
138		AC005551.1		ENSG00000284638	Predicted membrane proteins		HPA	20210914	20210914
139		AC005697.1		ENSG00000266202	Predicted intracellular proteins		HPA	20210914	20210914
140		AC005702.1		ENSG00000267318	Predicted intracellular proteins		HPA	20210914	20210914
141		AC005726.1		ENSG00000258472	Predicted intracellular proteins		HPA	20210914	20210914
142		AC005837.2		ENSG00000267168	Predicted intracellular proteins		HPA	20210914	20210914
143		AC006486.1		ENSG00000268643	Predicted intracellular proteins		HPA	20210914	20210914
144		AC006518.7		ENSG00000284826	Predicted intracellular proteins		HPA	20210914	20210914
145		AC006538.2		ENSG00000267001	Predicted membrane proteins		HPA	20210914	20210914
146		AC007040.2		ENSG00000258881	Predicted membrane proteins		HPA	20210914	20210914
147		AC007325.1		ENSG00000276017	Predicted intracellular proteins		HPA	20210914	20210914
148		AC007325.2		ENSG00000277196	Predicted intracellular proteins		HPA	20210914	20210914
149		AC007325.4		ENSG00000278817	Predicted intracellular proteins		HPA	20210914	20210914
150		AC007326.5		ENSG00000283809	Predicted intracellular proteins		HPA	20210914	20210914
151		AC007846.2		ENSG00000285471	Predicted intracellular proteins		HPA	20210914	20210914
152		AC007906.2		ENSG00000277639	Predicted intracellular proteins		HPA	20210914	20210914
153		AC007998.2		ENSG00000267140	Predicted intracellular proteins		HPA	20210914	20210914
154		AC008162.2		ENSG00000278646	Predicted intracellular proteins		HPA	20210914	20210914
155		AC008397.1		ENSG00000284797	Predicted membrane proteins		HPA	20210914	20210914
156		AC008397.2		ENSG00000285188	Enzymes, FDA approved drug targets, Predicted intracellular proteins	FDA approved drug targets	HPA	20210914	20210914
157		AC008403.1		ENSG00000268465	Predicted intracellular proteins		HPA	20210914	20210914
158		AC008560.1		ENSG00000253251	Predicted intracellular proteins		HPA	20210914	20210914
159		AC008687.1		ENSG00000267335	Predicted intracellular proteins, Predicted secreted proteins		HPA	20210914	20210914
160		AC008687.4		ENSG00000268655	Predicted intracellular proteins		HPA	20210914	20210914
161		AC008695.1		ENSG00000273217	Predicted intracellular proteins		HPA	20210914	20210914
162		AC008758.1		ENSG00000196826	Predicted intracellular proteins		HPA	20210914	20210914
163		AC008758.5		ENSG00000268870	Predicted intracellular proteins		HPA	20210914	20210914
164		AC008763.3		ENSG00000269711	Predicted intracellular proteins		HPA	20210914	20210914
165		AC008764.4		ENSG00000268790	Predicted intracellular proteins		HPA	20210914	20210914
166		AC008770.2		ENSG00000267179	Predicted intracellular proteins		HPA	20210914	20210914
167		AC008878.1		ENSG00000267952	Predicted intracellular proteins		HPA	20210914	20210914
168		AC008878.3		ENSG00000268861	Predicted intracellular proteins		HPA	20210914	20210914
169		AC008982.1		ENSG00000268083	Predicted intracellular proteins		HPA	20210914	20210914
170		AC009086.2		ENSG00000277669	Predicted intracellular proteins		HPA	20210914	20210914
171		AC009119.2		ENSG00000260300	Predicted intracellular proteins		HPA	20210914	20210914
172		AC009163.4		ENSG00000261717	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
173		AC009477.2		ENSG00000284479	Predicted membrane proteins		HPA	20210914	20210914
174		AC009779.3		ENSG00000258311	Predicted intracellular proteins		HPA	20210914	20210914
175		AC010255.3		ENSG00000250803	Predicted intracellular proteins		HPA	20210914	20210914
176		AC010319.2		ENSG00000269035	Predicted membrane proteins		HPA	20210914	20210914
177		AC010325.1		ENSG00000261341	Predicted membrane proteins		HPA	20210914	20210914
178		AC010422.5		ENSG00000269590	Predicted intracellular proteins		HPA	20210914	20210914
179		AC010487.3		ENSG00000283088	Predicted intracellular proteins		HPA	20210914	20210914
180		AC010522.1		ENSG00000268750	Predicted intracellular proteins		HPA	20210914	20210914
181		AC010531.1		ENSG00000131152	Predicted intracellular proteins		HPA	20210914	20210914
182		AC010616.1		ENSG00000268041	Predicted intracellular proteins		HPA	20210914	20210914
183		AC010646.1		ENSG00000269095	Predicted intracellular proteins		HPA	20210914	20210914
184		AC011005.1		ENSG00000230626	Predicted intracellular proteins		HPA	20210914	20210914
185		AC011043.1		ENSG00000276256	Predicted intracellular proteins		HPA	20210914	20210914
186		AC011043.2		ENSG00000278198	Predicted intracellular proteins		HPA	20210914	20210914
187		AC011195.2		ENSG00000266826	Predicted intracellular proteins		HPA	20210914	20210914
188		AC011448.1		ENSG00000258674	Predicted membrane proteins		HPA	20210914	20210914
189		AC011455.2		ENSG00000269547	Predicted intracellular proteins		HPA	20210914	20210914
190		AC011462.1		ENSG00000255730	Predicted intracellular proteins		HPA	20210914	20210914
191		AC011479.1		ENSG00000267748	Predicted intracellular proteins		HPA	20210914	20210914
192		AC011499.1		ENSG00000267157	Predicted intracellular proteins		HPA	20210914	20210914
193		AC011530.1		ENSG00000268434	Predicted intracellular proteins		HPA	20210914	20210914
194		AC011604.2		ENSG00000257046	Predicted membrane proteins		HPA	20210914	20210914
195		AC011841.1		ENSG00000273496	Predicted intracellular proteins		HPA	20210914	20210914
196		AC012184.2		ENSG00000260537	Predicted intracellular proteins		HPA	20210914	20210914
197		AC012309.1		ENSG00000267360	Predicted intracellular proteins		HPA	20210914	20210914
198		AC012476.1		ENSG00000285396	Predicted intracellular proteins		HPA	20210914	20210914
199		AC012531.3		ENSG00000273049	Predicted intracellular proteins		HPA	20210914	20210914
200		AC013394.1		ENSG00000279765	Predicted intracellular proteins		HPA	20210914	20210914
201		AC013470.2		ENSG00000226690	Predicted intracellular proteins		HPA	20210914	20210914
202		AC015802.6		ENSG00000284526	Predicted intracellular proteins		HPA	20210914	20210914
203		AC015813.2		ENSG00000266086	Predicted intracellular proteins		HPA	20210914	20210914
204		AC018554.3		ENSG00000278499	Predicted intracellular proteins		HPA	20210914	20210914
205		AC018630.2		ENSG00000275778	Predicted intracellular proteins		HPA	20210914	20210914
206		AC018709.1		ENSG00000272297	Predicted membrane proteins		HPA	20210914	20210914
207		AC018755.2		ENSG00000268500	Predicted membrane proteins		HPA	20210914	20210914
208		AC019117.3		ENSG00000283321	Predicted intracellular proteins		HPA	20210914	20210914
209		AC020909.1		ENSG00000142539	Predicted intracellular proteins		HPA	20210914	20210914
210		AC021072.1		ENSG00000283536	Predicted intracellular proteins		HPA	20210914	20210914
211		AC021097.2		ENSG00000285480	Predicted intracellular proteins		HPA	20210914	20210914
212		AC022167.5		ENSG00000283516	Predicted intracellular proteins, Predicted membrane proteins		HPA	20210914	20210914
213		AC022414.1		ENSG00000284762	Predicted intracellular proteins		HPA	20210914	20210914
214		AC022506.1		ENSG00000285133	Predicted intracellular proteins		HPA	20210914	20210914
215		AC023055.1		ENSG00000257390	Predicted intracellular proteins		HPA	20210914	20210914
216		AC023491.2		ENSG00000278633	Predicted intracellular proteins		HPA	20210914	20210914
